county,indicator,Unit,Date,Value
Garissa (sub reg),Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,103.7427439
Garissa (sub reg),Land Area (Sq. Km),sq. km,2019,3230.7
Garissa (sub reg),Population Density (No. per Sq. Km),No. per Sq. Km,2019,51
Garissa (sub reg),Population (Excludes the special population),Persons,2019,161951
Garissa (sub reg),Number of Households,Number,2019,30518
Garissa (sub reg),Average Household size,,2019,5
Hulugho,"Population, Total",Persons,2019,133984
Hulugho,"Population, Male",Persons,2019,78081
Hulugho,"Population, Female",Persons,2019,55898
Hulugho,"Population, Intersex",Persons,2019,5
Hulugho,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,139.684783
Hulugho,Land Area (Sq. Km),sq. km,2019,7733.2
Hulugho,Population Density (No. per Sq. Km),No. per Sq. Km,2019,17
Hulugho,Population (Excludes the special population),Persons,2019,133746
Hulugho,Number of Households,Number,2019,20254
Hulugho,Average Household size,,2019,7
Ijara,"Population, Total",Persons,2019,141591
Ijara,"Population, Male",Persons,2019,80458
Ijara,"Population, Female",Persons,2019,61129
Ijara,"Population, Intersex",Persons,2019,4
Ijara,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,131.6200167
Ijara,Land Area (Sq. Km),sq. km,2019,2438.9
Ijara,Population Density (No. per Sq. Km),No. per Sq. Km,2019,58
Ijara,Population (Excludes the special population),Persons,2019,141418
Ijara,Number of Households,Number,2019,18481
Ijara,Average Household size,,2019,8
Lagdera,"Population, Total",Persons,2019,50315
Lagdera,"Population, Male",Persons,2019,25023
Lagdera,"Population, Female",Persons,2019,25291
Lagdera,"Population, Intersex",Persons,2019,1
Lagdera,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.94033451
Lagdera,Land Area (Sq. Km),sq. km,2019,6096.4
Lagdera,Population Density (No. per Sq. Km),No. per Sq. Km,2019,8
Lagdera,Population (Excludes the special population),Persons,2019,49852
Lagdera,Number of Households,Number,2019,8340
Lagdera,Average Household size,,2019,6
Buna,"Population, Total",Persons,2019,49886
Buna,"Population, Male",Persons,2019,26796
Buna,"Population, Female",Persons,2019,23088
Buna,"Population, Intersex",Persons,2019,2
Buna,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,116.0602911
Buna,Land Area (Sq. Km),sq. km,2019,3892.8
Buna,Population Density (No. per Sq. Km),No. per Sq. Km,2019,13
Buna,Population (Excludes the special population),Persons,2019,48117
Buna,Number of Households,Number,2019,6480
Buna,Average Household size,,2019,7
Eldas,"Population, Total",Persons,2019,88509
Eldas,"Population, Male",Persons,2019,44743
Eldas,"Population, Female",Persons,2019,43759
Eldas,"Population, Intersex",Persons,2019,7
Eldas,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,102.2486803
Eldas,Land Area (Sq. Km),sq. km,2019,4444
Eldas,Population Density (No. per Sq. Km),No. per Sq. Km,2019,20
Eldas,Population (Excludes the special population),Persons,2019,88310
Eldas,Number of Households,Number,2019,13892
Eldas,Average Household size,,2019,6
Habaswein,"Population, Total",Persons,2019,174134
Habaswein,"Population, Male",Persons,2019,94613
Habaswein,"Population, Female",Persons,2019,79505
Habaswein,"Population, Intersex",Persons,2019,16
Habaswein,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,119.0025785
Habaswein,Land Area (Sq. Km),sq. km,2019,10912.5
Habaswein,Population Density (No. per Sq. Km),No. per Sq. Km,2019,16
Habaswein,Population (Excludes the special population),Persons,2019,173446
Habaswein,Number of Households,Number,2019,31292
Habaswein,Average Household size,,2019,6
Tarbaj,"Population, Total",Persons,2019,57232
Tarbaj,"Population, Male",Persons,2019,27141
Tarbaj,"Population, Female",Persons,2019,30086
Tarbaj,"Population, Intersex",Persons,2019,5
Tarbaj,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,90.211394
Tarbaj,Land Area (Sq. Km),sq. km,2019,9650.9
Tarbaj,Population Density (No. per Sq. Km),No. per Sq. Km,2019,6
Tarbaj,Population (Excludes the special population),Persons,2019,56983
Tarbaj,Number of Households,Number,2019,9378
Tarbaj,Average Household size,,2019,6
Wajir East,"Population, Total",Persons,2019,110654
Wajir East,"Population, Male",Persons,2019,59359
Wajir East,"Population, Female",Persons,2019,51292
Wajir East,"Population, Intersex",Persons,2019,3
Wajir East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,115.7275988
Wajir East,Land Area (Sq. Km),sq. km,2019,4055.1
Wajir East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,27
Wajir East,Population (Excludes the special population),Persons,2019,109316
Wajir East,Number of Households,Number,2019,18674
Wajir East,Average Household size,,2019,6
Wajir North,"Population, Total",Persons,2019,62206
Wajir North,"Population, Male",Persons,2019,31990
Wajir North,"Population, Female",Persons,2019,30209
Wajir North,"Population, Intersex",Persons,2019,7
Wajir North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,105.895594
Wajir North,Land Area (Sq. Km),sq. km,2019,4042.9
Wajir North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,15
Wajir North,Population (Excludes the special population),Persons,2019,61867
Wajir North,Number of Households,Number,2019,10490
Wajir North,Average Household size,,2019,6
Wajir South,"Population, Total",Persons,2019,116814
Wajir South,"Population, Male",Persons,2019,64947
Wajir South,"Population, Female",Persons,2019,51864
Wajir South,"Population, Intersex",Persons,2019,3
Wajir South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,125.22559
Wajir South,Land Area (Sq. Km),sq. km,2019,10732.6
Wajir South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,11
Wajir South,Population (Excludes the special population),Persons,2019,116225
Wajir South,Number of Households,Number,2019,21364
Wajir South,Average Household size,,2019,5
Wajir West,"Population, Total",Persons,2019,121828
Wajir West,"Population, Male",Persons,2019,65785
Wajir West,"Population, Female",Persons,2019,56037
Wajir West,"Population, Intersex",Persons,2019,6
Wajir West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,117.3956493
Wajir West,Land Area (Sq. Km),sq. km,2019,9042.3
Wajir West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,13
Wajir West,Population (Excludes the special population),Persons,2019,121038
Wajir West,Number of Households,Number,2019,16362
Wajir West,Average Household size,,2019,7
Mandera West,"Population, Total",Persons,2019,98300
Mandera West,"Population, Male",Persons,2019,48166
Mandera West,"Population, Female",Persons,2019,50130
Mandera West,"Population, Intersex",Persons,2019,4
Mandera West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.08218632
Mandera West,Land Area (Sq. Km),sq. km,2019,4016.9
Mandera West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,24
Mandera West,Population (Excludes the special population),Persons,2019,97983
Mandera West,Number of Households,Number,2019,14274
Mandera West,Average Household size,,2019,7
Banisa,"Population, Total",Persons,2019,152598
Banisa,"Population, Male",Persons,2019,78301
Banisa,"Population, Female",Persons,2019,74288
Banisa,"Population, Intersex",Persons,2019,9
Banisa,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,105.4019492
Banisa,Land Area (Sq. Km),sq. km,2019,3942.7
Banisa,Population Density (No. per Sq. Km),No. per Sq. Km,2019,39
Banisa,Population (Excludes the special population),Persons,2019,152043
Banisa,Number of Households,Number,2019,24285
Banisa,Average Household size,,2019,6
Kutulo,"Population, Total",Persons,2019,72394
Kutulo,"Population, Male",Persons,2019,35799
Kutulo,"Population, Female",Persons,2019,36593
Kutulo,"Population, Intersex",Persons,2019,2
Kutulo,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.8301861
Kutulo,Land Area (Sq. Km),sq. km,2019,2509.3
Kutulo,Population Density (No. per Sq. Km),No. per Sq. Km,2019,29
Kutulo,Population (Excludes the special population),Persons,2019,71602
Kutulo,Number of Households,Number,2019,9446
Kutulo,Average Household size,,2019,8
Lafey,"Population, Total",Persons,2019,83457
Lafey,"Population, Male",Persons,2019,40476
Lafey,"Population, Female",Persons,2019,42976
Lafey,"Population, Intersex",Persons,2019,5
Lafey,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.1827997
Lafey,Land Area (Sq. Km),sq. km,2019,3846.3
Lafey,Population Density (No. per Sq. Km),No. per Sq. Km,2019,22
Lafey,Population (Excludes the special population),Persons,2019,83001
Lafey,Number of Households,Number,2019,11597
Lafey,Average Household size,,2019,7
Mandera Central,"Population, Total",Persons,2019,157220
Mandera Central,"Population, Male",Persons,2019,71688
Mandera Central,"Population, Female",Persons,2019,85527
Mandera Central,"Population, Intersex",Persons,2019,5
Mandera Central,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,83.81914483
Mandera Central,Land Area (Sq. Km),sq. km,2019,4031.6
Mandera Central,Population Density (No. per Sq. Km),No. per Sq. Km,2019,39
Mandera Central,Population (Excludes the special population),Persons,2019,156623
Mandera Central,Number of Households,Number,2019,21140
Mandera Central,Average Household size,,2019,7
Mandera East,"Population, Total",Persons,2019,159638
Mandera East,"Population, Male",Persons,2019,83538
Mandera East,"Population, Female",Persons,2019,76095
Mandera East,"Population, Intersex",Persons,2019,5
Mandera East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,109.7811946
Mandera East,Land Area (Sq. Km),sq. km,2019,2505.7
Mandera East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,64
Mandera East,Population (Excludes the special population),Persons,2019,158586
Mandera East,Number of Households,Number,2019,25904
Mandera East,Average Household size,,2019,6
Mandera North,"Population, Total",Persons,2019,143850
Mandera North,"Population, Male",Persons,2019,77008
Mandera North,"Population, Female",Persons,2019,66835
Mandera North,"Population, Intersex",Persons,2019,7
Mandera North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,115.2210668
Mandera North,Land Area (Sq. Km),sq. km,2019,5087.3
Mandera North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,28
Mandera North,Population (Excludes the special population),Persons,2019,142241
Mandera North,Number of Households,Number,2019,19117
Mandera North,Average Household size,,2019,7
Loiyangalani,"Population, Total",Persons,2019,35713
Loiyangalani,"Population, Male",Persons,2019,17659
Loiyangalani,"Population, Female",Persons,2019,18051
Loiyangalani,"Population, Intersex",Persons,2019,3
Loiyangalani,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.82837516
Loiyangalani,Land Area (Sq. Km),sq. km,2019,11789.2
Loiyangalani,Population Density (No. per Sq. Km),No. per Sq. Km,2019,3
Loiyangalani,Population (Excludes the special population),Persons,2019,35274
Loiyangalani,Number of Households,Number,2019,7774
Loiyangalani,Average Household size,,2019,5
Marsabit Central,"Population, Total",Persons,2019,79181
Marsabit Central,"Population, Male",Persons,2019,40956
Marsabit Central,"Population, Female",Persons,2019,38214
Marsabit Central,"Population, Intersex",Persons,2019,11
Marsabit Central,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,107.1753808
Marsabit Central,Land Area (Sq. Km),sq. km,2019,2142.8
Marsabit Central,Population Density (No. per Sq. Km),No. per Sq. Km,2019,37
Marsabit Central,Population (Excludes the special population),Persons,2019,78167
Marsabit Central,Number of Households,Number,2019,15849
Marsabit Central,Average Household size,,2019,5
Marsabit North,"Population, Total",Persons,2019,54297
Marsabit North,"Population, Male",Persons,2019,30091
Marsabit North,"Population, Female",Persons,2019,24205
Marsabit North,"Population, Intersex",Persons,2019,1
Marsabit North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,124.3172898
Marsabit North,Land Area (Sq. Km),sq. km,2019,19836.8
Marsabit North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,3
Marsabit North,Population (Excludes the special population),Persons,2019,49056
Marsabit North,Number of Households,Number,2019,7521
Marsabit North,Average Household size,,2019,7
Marsabit South,"Population, Total",Persons,2019,65376
Marsabit South,"Population, Male",Persons,2019,33215
Marsabit South,"Population, Female",Persons,2019,32161
Marsabit South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,103.2772613
Marsabit South,Land Area (Sq. Km),sq. km,2019,8447.4
Marsabit South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,8
Marsabit South,Population (Excludes the special population),Persons,2019,64937
Marsabit South,Number of Households,Number,2019,11615
Marsabit South,Average Household size,,2019,6
Moyale,"Population, Total",Persons,2019,108949
Moyale,"Population, Male",Persons,2019,56440
Moyale,"Population, Female",Persons,2019,52508
Moyale,"Population, Intersex",Persons,2019,1
Moyale,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,107.4883827
Moyale,Land Area (Sq. Km),sq. km,2019,3395.5
Moyale,Population Density (No. per Sq. Km),No. per Sq. Km,2019,32
Moyale,Population (Excludes the special population),Persons,2019,108223
Moyale,Number of Households,Number,2019,17709
Moyale,Average Household size,,2019,6
North Horr,"Population, Total",Persons,2019,71447
North Horr,"Population, Male",Persons,2019,41719
North Horr,"Population, Female",Persons,2019,29726
North Horr,"Population, Intersex",Persons,2019,2
North Horr,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,140.3451524
North Horr,Land Area (Sq. Km),sq. km,2019,19336.7
North Horr,Population Density (No. per Sq. Km),No. per Sq. Km,2019,4
North Horr,Population (Excludes the special population),Persons,2019,67154
North Horr,Number of Households,Number,2019,9789
North Horr,Average Household size,,2019,7
Sololo,"Population, Total",Persons,2019,44822
Sololo,"Population, Male",Persons,2019,23468
Sololo,"Population, Female",Persons,2019,21354
Sololo,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,109.8997846
Sololo,Land Area (Sq. Km),sq. km,2019,5995.6
Sololo,Population Density (No. per Sq. Km),No. per Sq. Km,2019,7
Sololo,Population (Excludes the special population),Persons,2019,44339
Sololo,Number of Households,Number,2019,7238
Sololo,Average Household size,,2019,6
Garbatulla,"Population, Total",Persons,2019,99730
Garbatulla,"Population, Male",Persons,2019,54661
Garbatulla,"Population, Female",Persons,2019,45068
Garbatulla,"Population, Intersex",Persons,2019,1
Garbatulla,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,121.2856129
Garbatulla,Land Area (Sq. Km),sq. km,2019,9902
Garbatulla,Population Density (No. per Sq. Km),No. per Sq. Km,2019,10
Garbatulla,Population (Excludes the special population),Persons,2019,99730
Garbatulla,Number of Households,Number,2019,18661
Garbatulla,Average Household size,,2019,5
Isiolo (sub reg),"Population, Total",Persons,2019,121066
Isiolo (sub reg),"Population, Male",Persons,2019,60414
Isiolo (sub reg),"Population, Female",Persons,2019,60647
Isiolo (sub reg),"Population, Intersex",Persons,2019,5
