county,indicator,Unit,Date,Value
Balambala,Number of Households,Number,2019,4337
Balambala,Average Household size,,2019,7
Dadaab,"Population, Total",Persons,2019,185252
Dadaab,"Population, Male",Persons,2019,99059
Dadaab,"Population, Female",Persons,2019,86185
Dadaab,"Population, Intersex",Persons,2019,8
Dadaab,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,114.9376342
Dadaab,Land Area (Sq. Km),sq. km,2019,6479.8
Dadaab,Population Density (No. per Sq. Km),No. per Sq. Km,2019,29
Dadaab,Population (Excludes the special population),Persons,2019,183410
Dadaab,Number of Households,Number,2019,35793
Dadaab,Average Household size,,2019,5
Fafi,"Population, Total",Persons,2019,134040
Fafi,"Population, Male",Persons,2019,72617
Fafi,"Population, Female",Persons,2019,61413
Fafi,"Population, Intersex",Persons,2019,10
Fafi,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,118.2436943
Fafi,Land Area (Sq. Km),sq. km,2019,15072.9
Fafi,Population Density (No. per Sq. Km),No. per Sq. Km,2019,9
Fafi,Population (Excludes the special population),Persons,2019,133286
Fafi,Number of Households,Number,2019,23671
Fafi,Average Household size,,2019,6
Garissa (sub reg),"Population, Total",Persons,2019,163914
Garissa (sub reg),"Population, Male",Persons,2019,83460
Garissa (sub reg),"Population, Female",Persons,2019,80449
Garissa (sub reg),"Population, Intersex",Persons,2019,5
